,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
166,Suriname,2020-08-11 06:35:16,3.9193,-56.0278,2489.0,30.0,1674.0,785.0,424.2849885959559,,,1.2053033346725592,740,SUR
167,Syria,2020-08-11 06:35:16,34.802075,38.99681500000001,1255.0,52.0,364.0,839.0,7.171159345617711,,,4.143426294820717,760,SYR
168,Taiwan*,2020-08-11 06:35:16,23.7,121.0,477.0,7.0,441.0,29.0,2.002790050290184,,,1.4675052410901468,158,TWN
169,Tajikistan,2020-08-11 06:35:16,38.861034000000004,71.276093,7827.0,62.0,6614.0,1151.0,82.06430897699872,,,0.7921298070780631,762,TJK
170,Tanzania,2020-08-11 06:35:16,-6.369028,34.888822,509.0,21.0,183.0,305.0,0.852107987092757,,,4.12573673870334,834,TZA
171,Thailand,2020-08-11 06:35:16,15.870032,100.992541,3351.0,58.0,3163.0,130.0,4.800861112019262,,,1.7308266189197254,764,THA
172,Timor-Leste,2020-08-11 06:35:16,-8.874217,125.727539,25.0,0.0,24.0,1.0,1.896177457938992,,,0.0,626,TLS
173,Togo,2020-08-11 06:35:16,8.6195,0.8248,1067.0,25.0,729.0,313.0,12.888439383930182,,,2.343017806935333,768,TGO
174,Trinidad and Tobago,2020-08-11 06:35:16,10.6918,-61.2225,281.0,8.0,138.0,135.0,20.078728623478106,,,2.846975088967972,780,TTO
175,Tunisia,2020-08-11 06:35:16,33.886917,9.537499,1717.0,51.0,1265.0,401.0,14.52792534626299,,,2.9702970297029703,788,TUN
176,Turkey,2020-08-11 06:35:16,38.9637,35.2433,241997.0,5858.0,224970.0,11169.0,286.9334563542184,,,2.4206911655929617,792,TUR
177,Uganda,2020-08-11 06:35:16,1.373333,32.290275,1297.0,9.0,1137.0,151.0,2.8355304868717344,,,0.6939090208172706,800,UGA
